precise_ID,sample_id,study,project,condition,rep_id,Biological Replicates,run_date,Strain Description,Strain,Base Media,Carbon Source (g/L),Nitrogen Source (g/L),Electron Acceptor,Trace Element Mixture,Supplement,Temperature (C),pH,Antibiotic for selection,Culture Type,Time in phase [h],Growth Rate (1/hr),CTR [mol/h],D-glucose consumed [cmol],OD [-],base volume [ml],citrate [mmol/L],pyruvate [mmol/L],succinate [mmol/L],formate [mmol/L],lactate [mmol/L],ethanol [mmol/L],Evolved Sample,Isolate Type,Sequencing Machine,Additional Details,DOI,GEO,Published,SRX,Run,LibraryLayout,Platform,passed_fastqc,passed_pct_reads_mapped,passed_reads_mapped_to_CDS,passed_global_correlation,full_name,passed_replicate_correlations
DDB_0254,DDB_PD_036_AMBR_R24_S02_RNA_seq,DDB_PD_036,ddb_pd_036,[DDB_PD_036]_[SDT107_ZnLow]_[Batch]_[0h],2,2,24/04/2021,Escherichia coli K-12 BW25113 del-fhuA del-zur,SDT107,DDB_BM_002,glucose(4),NH4Cl(1),O2,DDB_TM_002,,30,6.5,,Batch,0,0.452,0.0005,0,2.534,1.75,0,138.093,0,0,0,0,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb_pd_036:[DDB_PD_036]_[SDT107_ZnLow]_[Batch]_[0h],TRUE
DDB_0255,DDB_PD_036_AMBR_R23_S07_RNA_seq,DDB_PD_036,ddb_pd_036,[DDB_PD_036]_[SDT107_ZnLow]_[Fed-batch]_[6h],1,1,24/04/2021,Escherichia coli K-12 BW25113 del-fhuA del-zur,SDT107,DDB_BM_002,glucose(4),NH4Cl(1),O2,DDB_TM_002,,30,6.5,,Fed-batch,6,0.114,0.00626,0.1427,73,6.8,0,124.089,0,0,0,0,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb_pd_036:[DDB_PD_036]_[SDT107_ZnLow]_[Fed-batch]_[6h],FALSE
DDB_0311,DDB_PD_065_AMBR_R13__S03_RNAseq,DDB_PD_065,ddb_pd_065,[DDB_PD_065]_[DDB7_WT]_[Batch]_[0h],1,1,10/09/2021,Escherichia coli K-12 BW25113 del-fhuA,DDB7,DDB_BM_005,glucose(4),NH4Cl(1),O2,DDB_TM_002,,30,6.5,,Batch,0,0.45,0.00053,2.00E-05,3.73,1.09,9.226,10.552,0.72,10.523,9.711,0,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb_pd_065:[DDB_PD_065]_[DDB7_WT]_[Batch]_[0h],FALSE
DDB_0312,DDB_PD_065_AMBR_R13__S06_RNAseq,DDB_PD_065,ddb_pd_065,[DDB_PD_065]_[DDB7_WT]_[Fed-batch]_[3h],1,1,10/09/2021,Escherichia coli K-12 BW25113 del-fhuA,DDB7,DDB_BM_005,glucose(4),NH4Cl(1),O2,DDB_TM_002,,30,6.5,,Fed-batch,3,0.081,0.00464,0.08773,65.1,2.86,8.649,0,3.116,0,0,0,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb_pd_065:[DDB_PD_065]_[DDB7_WT]_[Fed-batch]_[3h],FALSE
DDB_0313,DDB_PD_065_AMBR_R13__S08_RNAseq,DDB_PD_065,ddb_pd_065,[DDB_PD_065]_[DDB7_WT]_[Fed-batch]_[9h],1,1,10/09/2021,Escherichia coli K-12 BW25113 del-fhuA,DDB7,DDB_BM_005,glucose(4),NH4Cl(1),O2,DDB_TM_002,,30,6.5,,Fed-batch,9,0.095,0.00898,0.17661,95.6,5.29,6.354,0,6.895,0,0,0,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb_pd_065:[DDB_PD_065]_[DDB7_WT]_[Fed-batch]_[9h],FALSE
DDB_0314,DDB_PD_065_AMBR_R13__S10_RNAseq,DDB_PD_065,ddb_pd_065,[DDB_PD_065]_[DDB7_WT]_[Fed-batch]_[15h],1,1,10/09/2021,Escherichia coli K-12 BW25113 del-fhuA,DDB7,DDB_BM_005,glucose(4),NH4Cl(1),O2,DDB_TM_002,,30,6.5,,Fed-batch,15,0.096,0.01698,0.34093,144.7,10.52,5.007,0,7.739,0,0,0,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb_pd_065:[DDB_PD_065]_[DDB7_WT]_[Fed-batch]_[15h],FALSE
DDB_0315,DDB_PD_065_AMBR_R14__S03_RNAseq,DDB_PD_065,ddb_pd_065,[DDB_PD_065]_[SDT169_del_nac]_[Batch]_[0h],1,2,10/09/2021,Escherichia coli K-12 BW25113 del-fhuA del-nac,SDT169,DDB_BM_005,glucose(4),NH4Cl(1),O2,DDB_TM_002,,30,6.5,,Batch,0,0.391,0.00079,0.00729,3.31,1.19,9.101,13.575,0,0,19.588,0,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb_pd_065:[DDB_PD_065]_[SDT169_del_nac]_[Batch]_[0h],FALSE
DDB_0316,DDB_PD_065_AMBR_R15__S03_RNAseq,DDB_PD_065,ddb_pd_065,[DDB_PD_065]_[SDT169_del_nac]_[Batch]_[0h],2,2,10/09/2021,Escherichia coli K-12 BW25113 del-fhuA del-nac,SDT169,DDB_BM_005,glucose(4),NH4Cl(1),O2,DDB_TM_002,,30,6.5,,Batch,0,0.504,0.00053,0.00652,3.23,1.09,9.138,14.259,0,0,19.743,0,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb_pd_065:[DDB_PD_065]_[SDT169_del_nac]_[Batch]_[0h],FALSE
DDB_0317,DDB_PD_065_AMBR_R14__S10_RNAseq,DDB_PD_065,ddb_pd_065,[DDB_PD_065]_[SDT169_del_nac]_[Fed-batch]_[15h],1,2,10/09/2021,Escherichia coli K-12 BW25113 del-fhuA del-nac,SDT169,DDB_BM_005,glucose(4),NH4Cl(1),O2,DDB_TM_002,,30,6.5,,Fed-batch,15,0.103,0.02055,0.34544,126.5,9.76,6.024,0,4.936,0,0,0,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb_pd_065:[DDB_PD_065]_[SDT169_del_nac]_[Fed-batch]_[15h],TRUE
DDB_0318,DDB_PD_065_AMBR_R15__S10_RNAseq,DDB_PD_065,ddb_pd_065,[DDB_PD_065]_[SDT169_del_nac]_[Fed-batch]_[15h],2,2,10/09/2021,Escherichia coli K-12 BW25113 del-fhuA del-nac,SDT169,DDB_BM_005,glucose(4),NH4Cl(1),O2,DDB_TM_002,,30,6.5,,Fed-batch,15,0.097,0.01863,0.34511,126.2,8.47,5.941,0,6.412,0,0,0,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb_pd_065:[DDB_PD_065]_[SDT169_del_nac]_[Fed-batch]_[15h],TRUE
