Geneid,PD_117_R11_S05#,PD_117_R12_S05#,PD_117_R13_S05#,PD_117_R5_S05#1,PD_117_R6_S05#1,PD_117_R7_S05#1,PD_121_R11_S05#,PD_121_R13_S05#,PD_121_R15_S05#,PD_121_R5_S05#2,PD_121_R7_S05#2,PD_121_R9_S05#2,PD_122_R11_S05#,PD_122_R13_S05#,PD_122_R15_S05#,PD_122_R5_S05#2,PD_122_R7_S05#2,PD_122_R9_S05#2,PD_123_R11_S05#,PD_123_R13_S05#,PD_123_R5_S05#1,PD_123_R7_S05#1,PD_123_R9_S05#1
b0783,7.496703518,7.403793176,7.486658209,6.186379578,6.230331831,6.264197242,7.060276045,5.97610177,6.797347297,5.921461863,5.524121191,6.623736138,7.036992886,5.972404304,6.678235695,6.214944082,5.716654464,6.684641801,6.896236332,6.068385962,6.21755791,5.932304165,6.66149009
b0784,6.711052665,6.681334965,6.67548744,5.478439635,5.155956944,5.536235896,6.377025769,5.243498252,6.214882774,5.594621704,5.378302094,5.97583634,6.15275058,5.267044814,5.965476373,5.987939784,5.254189886,5.882623206,6.026821551,5.290357402,5.515264081,5.237346984,5.893557875
b0785,6.834453875,6.716358199,6.744312955,5.648767344,5.578081036,5.604262598,6.481400821,5.327273676,6.345868829,5.330344049,4.900051689,6.148625055,6.399561605,5.220795812,6.102619088,5.581742964,5.04624199,6.029467267,6.156932683,5.255584843,5.546607771,5.23820793,6.040597905
b0786,7.71129556,7.792097583,7.585438546,8.418591281,8.380878861,8.413566833,7.957475946,8.349359971,8.607230475,8.495847142,8.455843546,8.29239184,7.872963395,8.339425164,8.681914979,8.460207322,8.356443969,8.189285831,7.892572824,8.253436274,8.319866469,8.23217807,8.356166258
b0787,3.017357316,2.226115754,2.580593068,3.137356303,2.927364311,3.010325798,2.712053701,2.855662367,3.026001169,2.48672778,3.307469286,3.150740916,2.822916041,2.987535913,2.821651166,2.873831727,2.650845424,3.121720968,2.771449323,2.995716751,2.735429817,2.350570921,3.507654925
b0788,4.025474429,3.787460758,3.808286802,4.143611546,4.233842337,4.099914499,2.055300259,3.639628742,4.718241262,4.220562958,4.049400243,3.926222629,2.078458108,3.892232666,4.878436498,3.958482632,3.564844643,4.245077945,1.913409125,4.031605624,4.279270797,3.638060036,4.479433776
b0789,4.937176399,4.894620375,5.035847679,5.188512606,5.195783419,5.211065365,1.746754918,4.728061616,6.106756732,5.037370597,4.472311292,5.186226471,1.981696693,4.622778923,5.973851148,5.039050071,4.399896773,5.111183334,1.932570389,4.916952314,5.290679916,4.622865525,5.294182893
b0790,5.304458958,5.084827719,5.297449981,5.658744498,5.71676057,5.651513812,1.798054731,5.194306959,6.501542407,5.567274169,5.161411269,5.639591492,2.1007729,5.083773788,6.527021848,5.569909328,4.88016906,5.616214333,1.992271603,5.20334345,5.606666836,5.148446734,5.648865534
b0791,7.291143369,7.415409687,7.333942861,8.304978659,8.338056908,8.407657382,8.015060257,9.321944981,6.21007237,8.518151208,9.522454988,8.632973313,7.969085031,9.415422633,6.61118617,8.545241679,9.746765728,8.666349473,8.06192089,9.090002121,8.298227382,9.150256799,8.675706382
b0792,4.441461326,4.288538217,4.261539331,4.574350806,4.743816205,4.274977711,4.768869802,4.58193821,5.052432809,4.312139432,4.287901272,4.76957605,4.833864197,4.540822149,4.997077253,4.358670768,4.192526322,4.889970006,4.798317888,4.545230517,4.630294652,4.758533579,4.815456842
