,project,Strain Type,Strain Description,Short_genotype,Culture Type,Media version,Growth Rate (1/hr),mu_set
DDB3__PD-009_del-arcA_Batch_6h__1,DDB3,TF KO,Escherichia coli BW25113 del-arcA,BW25113 del-arcA,Batch,1,max,none
DDB3__PD-009_del-arcA_Batch_6h__2,DDB3,TF KO,Escherichia coli BW25113 del-arcA,BW25113 del-arcA,Batch,1,max,none
DDB3__PD-009_del-arcA_Fed-batch_6h__1,DDB3,TF KO,Escherichia coli BW25113 del-arcA,BW25113 del-arcA,Fed-batch,1,0.11,0.11
DDB3__PD-009_del-arcA_Fed-batch_6h__2,DDB3,TF KO,Escherichia coli BW25113 del-arcA,BW25113 del-arcA,Fed-batch,1,0.11,0.11
DDB3__PD-009_del-arcA_Fed-batch_15h__1,DDB3,TF KO,Escherichia coli BW25113 del-arcA,BW25113 del-arcA,Fed-batch,1,0.11,0.11
DDB3__PD-009_del-arcA_Fed-batch_15h__2,DDB3,TF KO,Escherichia coli BW25113 del-arcA,BW25113 del-arcA,Fed-batch,1,0.11,0.11
DDB3__PD-006_del-baeR_Batch_12h__1,DDB3,TF KO,Escherichia coli BW25113 del-baeR,BW25113 del-baeR,Batch,1,max,none
DDB3__PD-006_del-baeR_Batch_12h__2,DDB3,TF KO,Escherichia coli BW25113 del-baeR,BW25113 del-baeR,Batch,1,max,none
DDB3__PD-009_del-baeR_Batch_12h__1,DDB3,TF KO,Escherichia coli BW25113 del-baeR,BW25113 del-baeR,Batch,1,max,none
DDB3__PD-009_del-baeR_Batch_12h__2,DDB3,TF KO,Escherichia coli BW25113 del-baeR,BW25113 del-baeR,Batch,1,max,none
DDB3__PD-006_del-baeR_Fed-batch_12h__1,DDB3,TF KO,Escherichia coli BW25113 del-baeR,BW25113 del-baeR,Fed-batch,1,0.11,0.11
DDB3__PD-006_del-baeR_Fed-batch_12h__2,DDB3,TF KO,Escherichia coli BW25113 del-baeR,BW25113 del-baeR,Fed-batch,1,0.11,0.11
DDB3__PD-009_del-baeR_Fed-batch_12h__1,DDB3,TF KO,Escherichia coli BW25113 del-baeR,BW25113 del-baeR,Fed-batch,1,0.11,0.11
DDB3__PD-009_del-baeR_Fed-batch_12h__2,DDB3,TF KO,Escherichia coli BW25113 del-baeR,BW25113 del-baeR,Fed-batch,1,0.11,0.11
DDB3__PD-009_del-baeR_Fed-batch_18h__1,DDB3,TF KO,Escherichia coli BW25113 del-baeR,BW25113 del-baeR,Fed-batch,1,0.11,0.11
DDB3__PD-006_del-lsrB_Batch_6h__1,DDB3,TF KO,Escherichia coli BW25113 del-lsrB,BW25113 del-lsrB,Batch,1,max,none
DDB3__PD-006_del-lsrB_Batch_6h__2,DDB3,TF KO,Escherichia coli BW25113 del-lsrB,BW25113 del-lsrB,Batch,1,max,none
DDB3__PD-006_del-lsrB_Fed-batch_6h__1,DDB3,TF KO,Escherichia coli BW25113 del-lsrB,BW25113 del-lsrB,Fed-batch,1,0.11,0.11
DDB3__PD-006_del-lsrB_Fed-batch_6h__2,DDB3,TF KO,Escherichia coli BW25113 del-lsrB,BW25113 del-lsrB,Fed-batch,1,0.11,0.11
DDB3__PD-006_del-lsrB_Fed-batch_6h__3,DDB3,TF KO,Escherichia coli BW25113 del-lsrB,BW25113 del-lsrB,Fed-batch,1,0.11,0.11
DDB3__PD-006_del-lsrB_Fed-batch_15h__1,DDB3,TF KO,Escherichia coli BW25113 del-lsrB,BW25113 del-lsrB,Fed-batch,1,0.11,0.11
DDB3__PD-006_del-lsrB_Fed-batch_15h__2,DDB3,TF KO,Escherichia coli BW25113 del-lsrB,BW25113 del-lsrB,Fed-batch,1,0.11,0.11
DDB3__PD-009_del-lsrK_Batch_6h__1,DDB3,TF KO,Escherichia coli BW25113 del-lsrK,BW25113 del-lsrK,Batch,1,max,none
DDB3__PD-009_del-lsrK_Batch_6h__2,DDB3,TF KO,Escherichia coli BW25113 del-lsrK,BW25113 del-lsrK,Batch,1,max,none
DDB3__PD-009_del-lsrK_Fed-batch_6h__1,DDB3,TF KO,Escherichia coli BW25113 del-lsrK,BW25113 del-lsrK,Fed-batch,1,0.11,0.11
DDB3__PD-009_del-lsrK_Fed-batch_6h__2,DDB3,TF KO,Escherichia coli BW25113 del-lsrK,BW25113 del-lsrK,Fed-batch,1,0.11,0.11
DDB3__PD-009_del-lsrK_Fed-batch_15h__1,DDB3,TF KO,Escherichia coli BW25113 del-lsrK,BW25113 del-lsrK,Fed-batch,1,0.11,0.11
DDB3__PD-009_del-lsrK_Fed-batch_15h__2,DDB3,TF KO,Escherichia coli BW25113 del-lsrK,BW25113 del-lsrK,Fed-batch,1,0.11,0.11
DDB3__PD-009_del-lsrK_Fed-batch_15h__3,DDB3,TF KO,Escherichia coli BW25113 del-lsrK,BW25113 del-lsrK,Fed-batch,1,0.11,0.11
DDB3__PD-006_del-lsrR_Batch_6h__1,DDB3,TF KO,Escherichia coli BW25113 del-lsrR,BW25113 del-lsrR,Batch,1,max,none
DDB3__PD-006_del-lsrR_Batch_6h__2,DDB3,TF KO,Escherichia coli BW25113 del-lsrR,BW25113 del-lsrR,Batch,1,max,none
DDB3__PD-006_del-lsrR_Fed-batch_6h__1,DDB3,TF KO,Escherichia coli BW25113 del-lsrR,BW25113 del-lsrR,Fed-batch,1,0.11,0.11
DDB3__PD-006_del-lsrR_Fed-batch_6h__2,DDB3,TF KO,Escherichia coli BW25113 del-lsrR,BW25113 del-lsrR,Fed-batch,1,0.11,0.11
DDB3__PD-006_del-lsrR_Fed-batch_15h__1,DDB3,TF KO,Escherichia coli BW25113 del-lsrR,BW25113 del-lsrR,Fed-batch,1,0.11,0.11
DDB3__PD-006_del-lsrR_Fed-batch_15h__2,DDB3,TF KO,Escherichia coli BW25113 del-lsrR,BW25113 del-lsrR,Fed-batch,1,0.11,0.11
