Timepoint Sample,Experiment,Parent Culture,Reactor/Plate/Flask Number,Timepoint (#),Timepoint (h),Sample volume (mL),OD,D-glucose [g/L],acetic acid [g/L],citric acid [g/L],ethanol [g/L],formic acid [g/L],lactate [g/L],pyruvic acid [g/L],succinic acid [g/L],as [µg/L],cd_no_gas [µg/L],co [µg/L],cr [µg/L],cu [µg/L],fe [µg/L],mn [µg/L],mo [µg/L],ni [µg/L],pb_no_gas [µg/L],v [µg/L],zn [µg/L]
DDB_PD_036_AMBR_R18__S00,DDB_PD_036_AMBR,DDB_PD_036_AMBR_DDB35-001_R18_Main_,R18,S00,0.0,1.0,0.309,21.609790673087403,0.23394037781975002,0.0,0.0,0.0,0.0,0.0,0.0,0,0,80.1,0,150.5,5269.6,21.5,153.2,0,0,0,145.2
DDB_PD_036_AMBR_R18__S01,DDB_PD_036_AMBR,DDB_PD_036_AMBR_DDB35-001_R18_Main_,R18,S01,3.075876,1.0,0.678,24.443349110058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,86.4,0,167.4,5470.7,23.7,165.4,0,3.2,0,188.7
DDB_PD_036_AMBR_R18__S02,DDB_PD_036_AMBR,DDB_PD_036_AMBR_DDB35-001_R18_Main_,R18,S02,6.247119000000001,2.5,2.066,29.7524483342564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,95.3,6.8,235.5,6077.4,45.9,164.5,0,0,0,204.6
DDB_PD_036_AMBR_R18__S03,DDB_PD_036_AMBR,DDB_PD_036_AMBR_DDB35-001_R18_Main_,R18,S03,9.0743,1.0,6.48,17.877691678288,0.742284961046205,0.0,0.0,0.0,0.299364507595312,0.0,0.0,0,0,87.3,0,144.4,5500.3,88.8,152.2,0,0,0,96.5
DDB_PD_036_AMBR_R18__S04,DDB_PD_036_AMBR,DDB_PD_036_AMBR_DDB35-001_R18_Main_,R18,S04,12.07761,1.0,20.8,6.4534295588176,1.4710467335156199,0.0,0.0,0.0,0.6807643752338011,0.0,0.0,0,0,132,0,123.4,5077.3,269.9,148.3,0,0,0,64.8
DDB_PD_036_AMBR_R18__S05,DDB_PD_036_AMBR,DDB_PD_036_AMBR_DDB35-001_R18_Main_,R18,S05,14.04242,1.0,39.25,0.0,0.6854871538299411,0.0,0.0,0.0,0.0,0.0,0.0,0,0,126,0,83.1,4220.6,106.9,129.1,0,0,0,84.2
DDB_PD_036_AMBR_R18__S06,DDB_PD_036_AMBR,DDB_PD_036_AMBR_DDB35-001_R18_Main_,R18,S06,17.04481,1.0,53.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,127,0,78.4,3173.7,81.9,131.1,0,0,0,59.3
DDB_PD_036_AMBR_R18__S07,DDB_PD_036_AMBR,DDB_PD_036_AMBR_DDB35-001_R18_Main_,R18,S07,20.66853,1.5,81.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,130.9,0,134.3,1658,86.7,118.6,0,0,0,56.8
DDB_PD_036_AMBR_R18__S08,DDB_PD_036_AMBR,DDB_PD_036_AMBR_DDB35-001_R18_Main_,R18,S08,23.04256,1.0,104.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,142,0,95.2,381.9,78.7,111.1,0,0,0,77.8
DDB_PD_036_AMBR_R18__S09,DDB_PD_036_AMBR,DDB_PD_036_AMBR_DDB35-001_R18_Main_,R18,S09,26.04407,1.0,135.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,148.6,0,90.6,35.1,84.5,74.9,0,0,0,58.3
DDB_PD_036_AMBR_R18__S10,DDB_PD_036_AMBR,DDB_PD_036_AMBR_DDB35-001_R18_Main_,R18,S10,30.04054,1.5,178.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,175.3,0,89.6,84.9,80.7,58.6,0,0,0,318.4
DDB_PD_036_AMBR_R18__S11,DDB_PD_036_AMBR,DDB_PD_036_AMBR_DDB35-001_R18_Main_,R18,S11,32.03641,1.0,230.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,226.9,0,91.8,236.9,117,70.1,0,0,0,351.6
DDB_PD_036_AMBR_R18__S12,DDB_PD_036_AMBR,DDB_PD_036_AMBR_DDB35-001_R18_Main_,R18,S12,35.04470999999999,1.0,288.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,230.3,0,108,1122.7,72.2,100.3,0,0,0,308.9
DDB_PD_036_AMBR_R19__S00,DDB_PD_036_AMBR,DDB_PD_036_AMBR_SDT107-001_R19_Main_,R19,S00,0.0,1.0,0.314,21.4410980368512,0.200652869742388,0.0,0.0,0.0,0.0,0.0,0.0,0,0,155.3,0,163,5309.3,61.7,153.6,0,0,2.5,85.1
DDB_PD_036_AMBR_R19__S01,DDB_PD_036_AMBR,DDB_PD_036_AMBR_SDT107-001_R19_Main_,R19,S01,3.051992,1.0,0.766,25.5010656666385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,175.9,0,209.3,6074,68,167.1,0,0,0,108.5
DDB_PD_036_AMBR_R19__S02,DDB_PD_036_AMBR,DDB_PD_036_AMBR_SDT107-001_R19_Main_,R19,S02,6.46225,2.5,2.36,31.1816233615486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,167.2,0,196.1,5790.7,64.4,162.2,0,0,0,113.1
DDB_PD_036_AMBR_R19__S03,DDB_PD_036_AMBR,DDB_PD_036_AMBR_SDT107-001_R19_Main_,R19,S03,9.052837,1.0,6.24,20.6900862060697,0.603318869188814,0.0,0.0,0.0,0.317837883647206,0.0,0.0,0,0,164.8,0,161.3,5523.7,70.5,152.9,0,0,0,93.6
